Age,Age_Group,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,DistanceFromHome,Commute_Category,MonthlyIncome,Income_Band,PercentSalaryHike,Hike_Category,StockOptionLevel,JobSatisfaction,JobInvolvement,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,Experience_Band,YearsInCurrentRole,Role_Stability,YearsSinceLastPromotion,Promotion_Status,YearsWithCurrManager,Manager_Relationship,NumCompaniesWorked,Career_Mobility,TotalWorkingYears,TrainingTimesLastYear,OverTime,Attrition
45,Senior,Male,Married,College,Medical,Research & Development,Healthcare Representative,4,Travel_Rarely,20,Far,13496,Executive Level,14,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Above Standard,Fair,Good,Exceeds Expectations,20,Veteran,7,Stagnant Risk (5-7 yrs),4,Overdue (4-6 yrs),10,Long Term (8+ yrs),0,First Job,21,2,Yes,No
36,Senior,Male,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,6,Moderate,3210,Mid Level,11,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Excellent,Good,Good,Exceeds Expectations,15,Veteran,13,Critical Risk (8+ yrs),10,Critically Overdue (7+ yrs),11,Long Term (8+ yrs),0,First Job,16,4,No,No
55,Experienced,Male,Single,Bachelor,Medical,Research & Development,Manager,5,Travel_Rarely,1,Nearby,19045,Executive Level,14,Standard Hike (11-15%),0,Dissatisfied,Engaged,Excellent,Good,Good,Exceeds Expectations,36,Veteran,10,Critical Risk (8+ yrs),4,Overdue (4-6 yrs),13,Long Term (8+ yrs),0,First Job,37,2,Yes,No
47,Experienced,Male,Married,Master,Life Sciences,Research & Development,Manager,3,Non-Travel,29,Far,11849,Executive Level,12,Standard Hike (11-15%),1,Content,Engaged,Below Standard,Excellent,Fair,Exceeds Expectations,10,Experienced,7,Stagnant Risk (5-7 yrs),9,Critically Overdue (7+ yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),10,2,Yes,Yes
28,Mid Career,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,1,Travel_Rarely,9,Moderate,2070,Entry Level,23,Excellent Hike (20+%),1,Highly Satisfied,Engaged,Excellent,Excellent,Fair,Outstanding,5,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),5,3,No,No
37,Senior,Male,Married,Master,Medical,Sales,Sales Executive,2,Travel_Rarely,6,Moderate,6502,Senior Level,14,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Above Standard,Fair,Excellent,Exceeds Expectations,5,Established,4,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),4,Experienced Mover (3-5),7,5,No,No
21,Early Career,Male,Single,College,Medical,Research & Development,Research Scientist,1,Travel_Rarely,3,Nearby,3230,Mid Level,17,Good Hike (16-20%),0,Satisfied,Casually Engaged,Excellent,Poor,Excellent,Exceeds Expectations,3,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),3,4,No,No
37,Senior,Female,Divorced,Master,Medical,Research & Development,Research Director,3,Non-Travel,1,Nearby,13603,Executive Level,18,Good Hike (16-20%),2,Highly Satisfied,Engaged,Below Standard,Poor,Good,Exceeds Expectations,5,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),2,Early Career Mover (1-2),15,2,Yes,No
35,Mid Career,Female,Divorced,Bachelor,Life Sciences,Research & Development,Manager,3,Travel_Rarely,22,Far,11996,Executive Level,18,Good Hike (16-20%),1,Content,Highly Engaged,Standard,Fair,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),6,Overdue (4-6 yrs),2,Building Trust (2-4 yrs),7,Frequent Mover (6+),10,6,No,No
38,Senior,Female,Divorced,College,Medical,Sales,Sales Executive,2,Travel_Rarely,7,Moderate,5605,Mid Level,24,Excellent Hike (20+%),1,Dissatisfied,Highly Engaged,Below Standard,Good,Good,Outstanding,8,Experienced,0,Settling In (0-1 yrs),7,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),8,3,Yes,No
26,Mid Career,Female,Divorced,Bachelor,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Frequently,1,Nearby,6397,Senior Level,20,Good Hike (16-20%),1,Content,Engaged,Above Standard,Poor,Poor,Outstanding,6,Experienced,5,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),6,6,No,No
50,Experienced,Male,Divorced,Below College,Life Sciences,Research & Development,Research Director,5,Travel_Rarely,4,Nearby,19144,Executive Level,14,Standard Hike (11-15%),2,Content,Engaged,Below Standard,Poor,Fair,Exceeds Expectations,10,Experienced,4,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),6,Stable (5-7 yrs),3,Experienced Mover (3-5),28,4,No,No
53,Experienced,Male,Married,Master,Medical,Research & Development,Research Director,4,Travel_Rarely,3,Nearby,17584,Executive Level,16,Good Hike (16-20%),3,Satisfied,Engaged,Above Standard,Excellent,Fair,Exceeds Expectations,5,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),3,Experienced Mover (3-5),21,5,Yes,No
42,Senior,Male,Married,Below College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,1,Nearby,4907,Mid Level,25,Excellent Hike (20+%),0,Satisfied,Engaged,Standard,Good,Good,Outstanding,20,Veteran,16,Critical Risk (8+ yrs),11,Critically Overdue (7+ yrs),6,Stable (5-7 yrs),1,Early Career Mover (1-2),20,3,No,No
29,Mid Career,Male,Single,College,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,2,Nearby,4554,Mid Level,18,Good Hike (16-20%),0,Highly Satisfied,Engaged,Standard,Poor,Fair,Exceeds Expectations,10,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),10,3,No,No
55,Experienced,Male,Married,College,Technical Degree,Research & Development,Laboratory Technician,2,Travel_Rarely,20,Far,5415,Mid Level,19,Good Hike (16-20%),1,Highly Satisfied,Engaged,Standard,Excellent,Good,Exceeds Expectations,10,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),3,Experienced Mover (3-5),12,4,Yes,No
26,Mid Career,Male,Married,College,Medical,Research & Development,Healthcare Representative,2,Travel_Frequently,11,Moderate,4741,Mid Level,13,Standard Hike (11-15%),1,Dissatisfied,Engaged,Below Standard,Good,Good,Exceeds Expectations,5,Established,3,Established (2-4 yrs),3,Due for Review (2-3 yrs),3,Building Trust (2-4 yrs),1,Early Career Mover (1-2),5,3,Yes,No
37,Senior,Female,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,1,Nearby,2115,Entry Level,12,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Fair,Good,Exceeds Expectations,17,Veteran,12,Critical Risk (8+ yrs),5,Overdue (4-6 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),17,3,No,No
44,Senior,Male,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,24,Far,3161,Mid Level,22,Excellent Hike (20+%),1,Satisfied,Engaged,Excellent,Excellent,Poor,Outstanding,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),3,Experienced Mover (3-5),19,0,Yes,Yes
38,Senior,Male,Divorced,Master,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,23,Far,5745,Mid Level,14,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Excellent,Fair,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),9,Frequent Mover (6+),10,2,No,No
26,Mid Career,Male,Divorced,Master,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,16,Far,2373,Entry Level,13,Standard Hike (11-15%),1,Content,Engaged,Below Standard,Excellent,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),2,Early Career Mover (1-2),5,2,Yes,Yes
28,Mid Career,Female,Single,College,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,8,Moderate,3310,Mid Level,21,Excellent Hike (20+%),0,Highly Satisfied,Engaged,Excellent,Excellent,Good,Outstanding,5,Established,3,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),5,3,No,No
49,Experienced,Female,Single,Master,Life Sciences,Research & Development,Research Director,5,Travel_Frequently,10,Moderate,18665,Executive Level,11,Standard Hike (11-15%),0,Dissatisfied,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),9,Frequent Mover (6+),22,4,Yes,No
36,Senior,Male,Single,Bachelor,Technical Degree,Research & Development,Research Scientist,2,Travel_Rarely,3,Nearby,4485,Mid Level,12,Standard Hike (11-15%),0,Content,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,8,Experienced,0,Settling In (0-1 yrs),7,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),4,Experienced Mover (3-5),10,2,No,No
31,Mid Career,Female,Divorced,Bachelor,Marketing,Sales,Sales Representative,1,Travel_Frequently,5,Nearby,2789,Entry Level,11,Standard Hike (11-15%),1,Content,Engaged,Excellent,Good,Fair,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),2,5,No,No
26,Mid Career,Male,Single,Master,Marketing,Sales,Sales Executive,2,Travel_Rarely,4,Nearby,5828,Mid Level,12,Standard Hike (11-15%),0,Highly Satisfied,Casually Engaged,Excellent,Fair,Good,Exceeds Expectations,8,Experienced,7,Stagnant Risk (5-7 yrs),7,Critically Overdue (7+ yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),8,0,Yes,Yes
37,Senior,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,1,Travel_Frequently,9,Moderate,2326,Entry Level,12,Standard Hike (11-15%),3,Highly Satisfied,Engaged,Standard,Good,Fair,Exceeds Expectations,4,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),4,3,Yes,No
42,Senior,Female,Married,Bachelor,Marketing,Sales,Sales Executive,4,Travel_Frequently,26,Far,13525,Executive Level,14,Standard Hike (11-15%),1,Content,Engaged,Above Standard,Excellent,Excellent,Exceeds Expectations,20,Veteran,4,Established (2-4 yrs),4,Overdue (4-6 yrs),8,Long Term (8+ yrs),5,Experienced Mover (3-5),23,2,No,No
18,Early Career,Male,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,3,Nearby,1420,Entry Level,13,Standard Hike (11-15%),0,Satisfied,Engaged,Above Standard,Good,Good,Exceeds Expectations,0,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),0,2,No,Yes
35,Mid Career,Male,Married,Bachelor,Marketing,Sales,Sales Executive,3,Travel_Rarely,16,Far,8020,Senior Level,15,Standard Hike (11-15%),2,Content,Engaged,Above Standard,Good,Fair,Exceeds Expectations,11,Veteran,9,Critical Risk (8+ yrs),6,Overdue (4-6 yrs),9,Long Term (8+ yrs),0,First Job,12,3,No,No
36,Senior,Male,Married,Master,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,18,Far,3688,Mid Level,18,Good Hike (16-20%),2,Highly Satisfied,Highly Engaged,Above Standard,Excellent,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),4,Experienced Mover (3-5),4,2,No,No
51,Experienced,Male,Divorced,Bachelor,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,2,Nearby,5482,Mid Level,18,Good Hike (16-20%),1,Content,Disengaged,Excellent,Excellent,Good,Exceeds Expectations,4,Established,1,Settling In (0-1 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),5,Experienced Mover (3-5),13,3,No,No
41,Senior,Male,Single,Master,Life Sciences,Sales,Manager,4,Travel_Rarely,2,Nearby,16015,Executive Level,19,Good Hike (16-20%),0,Content,Engaged,Excellent,Fair,Good,Exceeds Expectations,22,Veteran,10,Critical Risk (8+ yrs),0,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),22,2,No,No
18,Early Career,Female,Single,Bachelor,Medical,Sales,Sales Representative,1,Travel_Rarely,10,Moderate,1200,Entry Level,12,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Excellent,Poor,Good,Exceeds Expectations,0,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),0,2,No,No
28,Mid Career,Male,Single,College,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,16,Far,5661,Mid Level,19,Good Hike (16-20%),0,Dissatisfied,Highly Engaged,Standard,Good,Good,Exceeds Expectations,8,Experienced,3,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),0,First Job,9,2,No,No
31,Mid Career,Male,Married,Bachelor,Technical Degree,Sales,Sales Executive,2,Travel_Rarely,7,Moderate,6929,Senior Level,11,Standard Hike (11-15%),1,Highly Satisfied,Highly Engaged,Standard,Fair,Fair,Exceeds Expectations,8,Experienced,7,Stagnant Risk (5-7 yrs),7,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),4,Experienced Mover (3-5),10,3,No,No
39,Senior,Male,Divorced,Bachelor,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,1,Nearby,9613,Senior Level,17,Good Hike (16-20%),3,Highly Satisfied,Highly Engaged,Above Standard,Poor,Fair,Exceeds Expectations,18,Veteran,10,Critical Risk (8+ yrs),3,Due for Review (2-3 yrs),7,Stable (5-7 yrs),0,First Job,19,5,No,No
36,Senior,Female,Married,Master,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,24,Far,5674,Mid Level,15,Standard Hike (11-15%),1,Content,Engaged,Standard,Good,Good,Exceeds Expectations,9,Experienced,8,Critical Risk (8+ yrs),0,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),7,Frequent Mover (6+),11,3,No,No
32,Mid Career,Male,Married,Bachelor,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,7,Moderate,5484,Mid Level,14,Standard Hike (11-15%),1,Satisfied,Casually Engaged,Excellent,Good,Fair,Exceeds Expectations,13,Veteran,8,Critical Risk (8+ yrs),4,Overdue (4-6 yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),13,3,No,No
38,Senior,Female,Married,College,Life Sciences,Research & Development,Research Director,3,Travel_Rarely,25,Far,12061,Executive Level,17,Good Hike (16-20%),1,Content,Casually Engaged,Below Standard,Good,Good,Exceeds Expectations,10,Experienced,8,Critical Risk (8+ yrs),0,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),3,Experienced Mover (3-5),19,2,No,No
58,Veteran,Male,Divorced,Master,Life Sciences,Research & Development,Healthcare Representative,2,Non-Travel,1,Nearby,5660,Mid Level,13,Standard Hike (11-15%),1,Satisfied,Disengaged,Excellent,Excellent,Good,Exceeds Expectations,5,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),2,Early Career Mover (1-2),12,2,Yes,No
31,Mid Career,Male,Married,Master,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,5,Nearby,4821,Mid Level,12,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Above Standard,Good,Good,Exceeds Expectations,5,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),0,First Job,6,4,Yes,No
31,Mid Career,Male,Married,Bachelor,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,2,Nearby,6410,Senior Level,12,Standard Hike (11-15%),0,Dissatisfied,Casually Engaged,Below Standard,Excellent,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),3,Experienced Mover (3-5),9,1,No,No
45,Senior,Male,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Frequently,7,Moderate,5210,Mid Level,18,Good Hike (16-20%),1,Dissatisfied,Engaged,Below Standard,Poor,Good,Exceeds Expectations,24,Veteran,9,Critical Risk (8+ yrs),9,Critically Overdue (7+ yrs),11,Long Term (8+ yrs),1,Early Career Mover (1-2),24,2,No,No
31,Mid Career,Male,Divorced,Master,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2,Nearby,2695,Entry Level,18,Good Hike (16-20%),1,Highly Satisfied,Engaged,Above Standard,Fair,Poor,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),0,First Job,3,2,Yes,No
33,Mid Career,Female,Married,Master,Life Sciences,Research & Development,Manager,3,Travel_Frequently,5,Nearby,11878,Executive Level,11,Standard Hike (11-15%),2,Content,Engaged,Excellent,Fair,Good,Exceeds Expectations,10,Experienced,6,Stagnant Risk (5-7 yrs),8,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),6,Frequent Mover (6+),12,2,No,No
39,Senior,Male,Married,Below College,Medical,Research & Development,Manager,4,Travel_Rarely,10,Moderate,17068,Executive Level,14,Standard Hike (11-15%),0,Dissatisfied,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,21,Veteran,9,Critical Risk (8+ yrs),11,Critically Overdue (7+ yrs),10,Long Term (8+ yrs),1,Early Career Mover (1-2),21,3,Yes,No
43,Senior,Female,Single,Master,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,10,Moderate,2455,Entry Level,19,Good Hike (16-20%),0,Highly Satisfied,Engaged,Above Standard,Poor,Good,Exceeds Expectations,8,Experienced,7,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),0,First Job,9,5,No,No
49,Experienced,Female,Single,College,Technical Degree,Research & Development,Healthcare Representative,4,Travel_Rarely,1,Nearby,13964,Executive Level,12,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Above Standard,Excellent,Good,Exceeds Expectations,7,Experienced,1,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),7,Frequent Mover (6+),25,2,Yes,No
52,Experienced,Male,Married,Master,Medical,Research & Development,Research Scientist,2,Travel_Rarely,8,Moderate,4941,Mid Level,15,Standard Hike (11-15%),0,Content,Casually Engaged,Above Standard,Poor,Fair,Exceeds Expectations,8,Experienced,2,Established (2-4 yrs),7,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),2,Early Career Mover (1-2),11,3,No,Yes
27,Mid Career,Female,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,5,Nearby,2478,Entry Level,12,Standard Hike (11-15%),0,Content,Engaged,Above Standard,Fair,Fair,Exceeds Expectations,4,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),4,2,Yes,No
32,Mid Career,Female,Married,College,Technical Degree,Sales,Sales Executive,2,Travel_Rarely,8,Moderate,5228,Mid Level,11,Standard Hike (11-15%),0,Content,Casually Engaged,Above Standard,Excellent,Good,Exceeds Expectations,13,Veteran,12,Critical Risk (8+ yrs),11,Critically Overdue (7+ yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),13,2,Yes,No
27,Mid Career,Male,Single,Bachelor,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,2,Nearby,4478,Mid Level,11,Standard Hike (11-15%),0,Satisfied,Engaged,Excellent,Poor,Good,Exceeds Expectations,5,Established,4,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),5,3,Yes,No
31,Mid Career,Male,Divorced,Bachelor,Marketing,Sales,Sales Executive,2,Travel_Rarely,7,Moderate,7547,Senior Level,12,Standard Hike (11-15%),3,Highly Satisfied,Engaged,Excellent,Excellent,Good,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),4,Experienced Mover (3-5),13,3,No,No
32,Mid Career,Female,Single,Master,Medical,Research & Development,Research Scientist,2,Travel_Rarely,2,Nearby,5055,Mid Level,16,Good Hike (16-20%),0,Highly Satisfied,Highly Engaged,Below Standard,Good,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),7,Frequent Mover (6+),10,0,No,No
28,Mid Career,Male,Married,Master,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2,Nearby,3464,Mid Level,13,Standard Hike (11-15%),0,Highly Satisfied,Disengaged,Below Standard,Excellent,Fair,Exceeds Expectations,3,Established,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),5,Experienced Mover (3-5),5,4,Yes,Yes
30,Mid Career,Female,Married,College,Medical,Research & Development,Research Scientist,2,Travel_Rarely,28,Far,5775,Mid Level,13,Standard Hike (11-15%),2,Highly Satisfied,Engaged,Excellent,Excellent,Good,Exceeds Expectations,10,Experienced,8,Critical Risk (8+ yrs),1,Recently Promoted (0-1 yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),11,2,No,No
31,Mid Career,Female,Married,College,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Frequently,7,Moderate,8943,Senior Level,24,Excellent Hike (20+%),1,Satisfied,Casually Engaged,Above Standard,Poor,Good,Outstanding,10,Experienced,9,Critical Risk (8+ yrs),8,Critically Overdue (7+ yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),10,2,No,No
39,Senior,Male,Married,College,Medical,Research & Development,Manager,5,Travel_Frequently,7,Moderate,19272,Executive Level,15,Standard Hike (11-15%),1,Highly Satisfied,Casually Engaged,Above Standard,Poor,Good,Exceeds Expectations,21,Veteran,9,Critical Risk (8+ yrs),13,Critically Overdue (7+ yrs),3,Building Trust (2-4 yrs),1,Early Career Mover (1-2),21,2,No,No
39,Senior,Female,Married,College,Medical,Sales,Sales Executive,2,Travel_Rarely,3,Nearby,5238,Mid Level,18,Good Hike (16-20%),0,Satisfied,Engaged,Excellent,Poor,Fair,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),4,Experienced Mover (3-5),12,3,Yes,Yes
33,Mid Career,Male,Single,Bachelor,Marketing,Sales,Sales Executive,2,Travel_Frequently,10,Moderate,4682,Mid Level,14,Standard Hike (11-15%),0,Highly Satisfied,Casually Engaged,Standard,Good,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),3,Experienced Mover (3-5),9,6,No,No
47,Experienced,Male,Married,Doctor,Life Sciences,Research & Development,Research Director,5,Travel_Rarely,5,Nearby,18300,Executive Level,11,Standard Hike (11-15%),1,Satisfied,Engaged,Excellent,Fair,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),4,Experienced Mover (3-5),21,2,No,No
43,Senior,Female,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Frequently,10,Moderate,5257,Mid Level,11,Standard Hike (11-15%),1,Satisfied,Casually Engaged,Above Standard,Fair,Excellent,Exceeds Expectations,9,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),9,3,No,No
27,Mid Career,Male,Married,Below College,Marketing,Sales,Sales Executive,2,Non-Travel,1,Nearby,6349,Senior Level,13,Standard Hike (11-15%),1,Content,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,5,Established,4,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),0,First Job,6,0,Yes,No
54,Experienced,Female,Single,Master,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,20,Far,4869,Mid Level,12,Standard Hike (11-15%),0,Satisfied,Engaged,Excellent,Excellent,Fair,Exceeds Expectations,4,Established,3,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),3,Experienced Mover (3-5),20,4,No,No
43,Senior,Female,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,7,Moderate,9985,Senior Level,16,Good Hike (16-20%),1,Dissatisfied,Engaged,Above Standard,Poor,Fair,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),8,Frequent Mover (6+),10,1,No,No
45,Senior,Male,Married,Master,Other,Research & Development,Research Scientist,2,Travel_Rarely,8,Moderate,3697,Mid Level,14,Standard Hike (11-15%),2,Highly Satisfied,Engaged,Excellent,Poor,Good,Exceeds Expectations,10,Experienced,9,Critical Risk (8+ yrs),9,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),9,Frequent Mover (6+),12,3,No,No
40,Senior,Male,Married,College,Medical,Sales,Sales Executive,2,Travel_Rarely,1,Nearby,7457,Senior Level,22,Excellent Hike (20+%),3,Highly Satisfied,Disengaged,Standard,Good,Fair,Outstanding,4,Established,3,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),2,Early Career Mover (1-2),6,2,Yes,No
29,Mid Career,Male,Married,Master,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,8,Moderate,2119,Entry Level,11,Standard Hike (11-15%),0,Dissatisfied,Disengaged,Standard,Excellent,Fair,Exceeds Expectations,7,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),7,4,Yes,Yes
29,Mid Career,Male,Single,Doctor,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,9,Moderate,3983,Mid Level,17,Good Hike (16-20%),0,Highly Satisfied,Casually Engaged,Standard,Good,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),0,First Job,4,2,No,No
30,Mid Career,Female,Divorced,Bachelor,Marketing,Sales,Sales Executive,2,Travel_Rarely,5,Nearby,6118,Senior Level,13,Standard Hike (11-15%),3,Satisfied,Casually Engaged,Excellent,Good,Good,Exceeds Expectations,10,Experienced,9,Critical Risk (8+ yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),10,2,No,No
27,Mid Career,Female,Married,Master,Marketing,Sales,Sales Executive,2,Travel_Rarely,8,Moderate,6214,Senior Level,18,Good Hike (16-20%),1,Content,Engaged,Standard,Poor,Good,Exceeds Expectations,8,Experienced,7,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),8,3,No,No
